order_id,customer_id,order_date,order_value_kes,items,delivered_late,payment_method
ORD-543837,DL-12914,2025-12-19,14990.0,25,0,M-Pesa
ORD-510996,DL-10743,2025-11-22,11220.0,4,0,M-Pesa
ORD-546249,DL-13077,2025-10-02,8650.0,23,0,M-Pesa
ORD-559943,DL-13948,2026-05-24,1700.0,6,0,Bank transfer
ORD-522437,DL-11491,2026-01-05,9490.0,2,1,Credit
ORD-574813,DL-14900,2026-01-31,3700.0,38,0,Credit
ORD-546030,DL-13056,2025-10-21,13430.0,29,1,M-Pesa
ORD-501120,DL-10085,2026-06-10,4900.0,22,0,Credit
ORD-529397,DL-11939,2026-05-11,4790.0,36,0,Cash
ORD-513519,DL-10902,2025-07-06,8840.0,31,0,Bank transfer
ORD-509180,DL-10616,2026-03-24,1370.0,6,0,M-Pesa
ORD-525166,DL-11666,2026-05-21,17940.0,4,0,M-Pesa
ORD-508943,DL-10595,2025-11-20,3000.0,14,0,M-Pesa
ORD-558392,DL-13828,2026-03-22,7460.0,39,0,M-Pesa
ORD-541960,DL-12788,2025-08-24,4390.0,16,0,M-Pesa
ORD-508828,DL-10588,2026-06-27,1700.0,22,0,M-Pesa
ORD-576483,DL-14998,2026-03-25,3950.0,3,0,M-Pesa
ORD-554543,DL-13584,2026-02-04,6230.0,30,0,Bank transfer
ORD-566439,DL-14374,2026-04-22,5070.0,15,0,Credit
ORD-571455,DL-14689,2025-09-20,18070.0,33,0,M-Pesa
ORD-544491,DL-12948,2026-05-18,6990.0,30,0,Bank transfer
ORD-535210,DL-12317,2026-01-08,11240.0,24,0,M-Pesa
ORD-508460,DL-10561,2026-03-03,12230.0,21,0,Credit
ORD-543737,DL-12906,2026-02-21,6560.0,33,1,M-Pesa
ORD-529646,DL-11953,2026-06-14,3700.0,13,0,M-Pesa
ORD-551530,DL-13406,2025-08-08,13270.0,13,0,M-Pesa
ORD-512944,DL-10864,2025-09-02,2720.0,17,1,Credit
ORD-572382,DL-14759,2026-06-25,4100.0,25,0,M-Pesa
ORD-559407,DL-13908,2025-08-24,5240.0,16,0,M-Pesa
ORD-506724,DL-10464,2025-12-23,3740.0,24,0,Cash
ORD-513413,DL-10894,2025-10-28,1400.0,5,0,Bank transfer
ORD-511098,DL-10750,2025-07-18,4520.0,9,0,M-Pesa
ORD-502465,DL-10169,2026-01-23,1820.0,8,0,M-Pesa
ORD-519463,DL-11299,2025-11-03,11090.0,13,0,Bank transfer
ORD-527669,DL-11841,2025-12-29,3140.0,14,0,Credit
ORD-501550,DL-10112,2025-07-30,4810.0,39,0,M-Pesa
ORD-513036,DL-10869,2025-07-26,3520.0,21,0,M-Pesa
ORD-562624,DL-14121,2026-01-10,730.0,18,0,Cash
ORD-546772,DL-13104,2025-09-09,3800.0,12,0,M-Pesa
ORD-540926,DL-12723,2025-11-21,3290.0,38,0,Cash
ORD-511451,DL-10767,2025-10-28,10640.0,24,0,M-Pesa
ORD-519672,DL-11314,2025-11-07,7410.0,39,0,Bank transfer
ORD-544632,DL-12959,2025-07-01,3450.0,22,0,Credit
ORD-539396,DL-12619,2026-01-24,3380.0,4,0,Credit
ORD-524085,DL-11600,2025-08-01,2350.0,38,0,Credit
ORD-573482,DL-14817,2026-04-09,4670.0,33,1,Cash
ORD-564025,DL-14215,2025-07-07,7540.0,6,0,Cash
ORD-557581,DL-13769,2025-09-03,2590.0,10,1,M-Pesa
ORD-527184,DL-11811,2026-01-18,3250.0,8,0,Credit
ORD-541204,DL-12739,2025-12-29,3670.0,12,0,Credit
